month,mean,min,max
1,0.4324174269442604,0.2237887680530548,0.8536551594734192
2,0.37154711781734034,0.19158664345741272,0.8399747014045715
3,0.3872777924723475,0.18614506721496582,0.8599616289138794
4,0.39852939045372376,0.17150750756263733,0.8324745893478394
5,0.4035574140030808,0.12467866390943527,0.8514411449432373
6,0.47829702929644613,0.16015474498271942,0.8904833197593689
7,0.5866524396231011,0.2528216540813446,0.8701199889183044
8,0.6305511661487588,0.27481818199157715,0.8940390944480896
9,0.6483555387305308,0.3312164843082428,0.8750821948051453
10,0.6831042984545153,0.31088533997535706,0.8829663991928101
11,0.5884787033175328,0.233705073595047,0.8892831802368164
12,0.48240415924238145,0.22797618806362152,0.8867924809455872
